danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,liked
0.6990000000000001,0.199,9,-11.464,1,0.0304,0.929,0.07390000000000001,0.309,109.907,148517,1
0.5670000000000001,0.341,9,-10.288,1,0.037,0.848,0.34,0.23700000000000002,74.967,208500,1
0.4,0.20700000000000002,5,-12.409,1,0.049800000000000004,0.936,0.0848,0.609,188.663,192000,1
0.509,0.115,6,-13.313,0,0.0449,0.931,0.0878,0.64,80.4,200471,1
0.34,0.217,10,-14.292,1,0.0529,0.9500000000000001,0.151,0.341,174.614,209318,1
0.763,0.122,6,-11.474,1,0.0396,0.966,0.106,0.449,130.264,204130,1
0.462,0.165,7,-11.985,1,0.0463,0.906,0.112,0.30000000000000004,133.439,225385,1
0.599,0.188,10,-12.83,1,0.034800000000000005,0.9410000000000001,0.113,0.602,81.321,165652,1
0.664,0.20500000000000002,0,-9.56,1,0.0373,0.907,0.09190000000000001,0.316,119.837,208036,1
0.388,0.0888,9,-14.807,0,0.046700000000000005,0.973,0.14100000000000001,0.28700000000000003,111.074,193696,1
0.47200000000000003,0.1,11,-15.073,0,0.0396,0.967,0.0741,0.386,116.731,210353,1
0.535,0.188,2,-16.063,0,0.0461,0.929,0.137,0.5690000000000001,57.031,180353,1
0.5660000000000001,0.161,7,-11.559,0,0.0402,0.9,0.353,0.385,118.938,165956,1
0.443,0.107,11,-13.749,1,0.0539,0.977,0.146,0.38,176.184,193553,1
0.597,0.129,4,-14.498,0,0.041,0.915,0.12,0.326,122.03,190804,1
0.551,0.17300000000000001,6,-14.924,1,0.0523,0.88,0.0981,0.267,84.765,209302,1
0.433,0.045200000000000004,10,-14.557,0,0.0441,0.9530000000000001,0.101,0.448,145.855,202905,1
0.47200000000000003,0.0719,9,-18.19,1,0.0494,0.963,0.109,0.217,110.126,201882,1
0.613,0.228,11,-13.913,1,0.0539,0.836,0.111,0.312,119.8,157744,1
0.328,0.121,7,-14.463,1,0.042300000000000004,0.9570000000000001,0.116,0.316,175.627,210353,1
0.47600000000000003,0.213,2,-7.7059999999999995,1,0.0514,0.872,0.0978,0.562,76.692,243243,1
0.435,0.23700000000000002,7,-12.096,1,0.178,0.9430000000000001,0.242,0.375,169.467,221935,1
0.47200000000000003,0.11900000000000001,6,-12.397,0,0.039900000000000005,0.981,0.165,0.256,141.245,248826,1
0.443,0.112,11,-14.19,1,0.0473,0.9530000000000001,0.101,0.293,116.589,212283,1
0.352,0.14300000000000002,9,-15.23,1,0.0366,0.853,0.0718,0.379,171.406,229535,1
0.62,0.16,9,-11.885,1,0.0362,0.9440000000000001,0.0815,0.307,64.999,183788,1
0.47200000000000003,0.167,1,-12.295,1,0.0422,0.9590000000000001,0.136,0.56,127.068,177391,1
0.5630000000000001,0.197,9,-15.173,1,0.0722,0.906,0.109,0.358,123.899,199355,1
0.35000000000000003,0.248,5,-7.973,1,0.028300000000000002,0.795,0.113,0.23,141.983,223099,1
0.445,0.09090000000000001,6,-15.963,0,0.0789,0.969,0.128,0.373,61.481,174457,1
0.397,0.193,4,-15.44,1,0.033,0.8210000000000001,0.114,0.168,107.887,258750,1
0.541,0.186,11,-12.857,1,0.037200000000000004,0.705,0.0884,0.337,74.983,181600,1
0.389,0.122,4,-14.953,1,0.0417,0.873,0.323,0.35000000000000003,198.216,208856,1
0.516,0.09280000000000001,0,-16.611,1,0.060700000000000004,0.969,0.12,0.191,115.477,185217,1
0.522,0.203,11,-14.605,0,0.0476,0.8310000000000001,0.11,0.257,80.253,159210,1
0.554,0.247,0,-8.704,0,0.0354,0.891,0.14100000000000001,0.177,63.968,155532,1
0.647,0.195,9,-12.634,1,0.051000000000000004,0.903,0.07930000000000001,0.504,120.076,187071,1
0.633,0.155,2,-11.62,1,0.0461,0.911,0.0956,0.451,132.172,240000,1
0.763,0.155,8,-14.142,0,0.0436,0.876,0.153,0.424,115.135,170508,1
0.464,0.11900000000000001,10,-16.271,1,0.0391,0.985,0.122,0.20400000000000001,140.29,211957,1
0.497,0.182,4,-9.567,0,0.0391,0.837,0.257,0.34,128.171,157852,1
0.484,0.20700000000000002,3,-11.174,1,0.0362,0.791,0.12,0.27,117.38,183984,1
0.418,0.159,9,-13.412,1,0.0413,0.745,0.111,0.196,80.986,211781,1
0.486,0.227,9,-13.758,1,0.0621,0.8210000000000001,0.158,0.34,170.429,195473,1
0.791,0.302,11,-10.793,0,0.038200000000000005,0.844,0.0816,0.503,99.946,122400,1
0.604,0.21,0,-11.731,0,0.0323,0.867,0.0935,0.249,120.131,230211,1
0.425,0.22,0,-9.041,1,0.032600000000000004,0.645,0.176,0.099,128.157,201943,1
0.7020000000000001,0.199,7,-11.751,0,0.0309,0.833,0.11,0.308,105.002,166819,1
0.647,0.215,9,-11.567,0,0.0316,0.704,0.09580000000000001,0.14300000000000002,110.095,154909,1
0.615,0.187,0,-12.098,1,0.0318,0.8310000000000001,0.0887,0.45,110.033,146182,1
0.487,0.124,7,-12.494,1,0.031900000000000005,0.794,0.0877,0.136,99.593,163800,1
0.47700000000000004,0.209,4,-9.138,0,0.0339,0.794,0.182,0.428,85.795,150857,1
0.34400000000000003,0.191,10,-8.872,1,0.0308,0.762,0.11900000000000001,0.28300000000000003,171.63,204023,1
0.525,0.463,4,-7.732,0,0.0362,0.8150000000000001,0.108,0.372,143.614,202917,1
0.334,0.187,0,-11.839,1,0.0398,0.862,0.136,0.5750000000000001,185.187,163370,1
0.5,0.431,0,-5.508,1,0.030500000000000003,0.501,0.11,0.30000000000000004,89.189,168000,1
0.599,0.184,11,-13.949,1,0.034800000000000005,0.747,0.114,0.223,129.91,283370,1
0.586,0.28500000000000003,7,-10.625,1,0.029500000000000002,0.773,0.395,0.253,84.884,244235,1
0.659,0.28700000000000003,2,-7.533,1,0.031900000000000005,0.784,0.131,0.355,99.896,234600,1
0.601,0.493,10,-6.8629999999999995,1,0.0323,0.264,0.11900000000000001,0.34500000000000003,113.029,272223,1
0.428,0.167,10,-14.642,1,0.0375,0.848,0.10400000000000001,0.203,139.22,237567,1
0.333,0.14,4,-10.884,1,0.029900000000000003,0.932,0.11,0.194,97.937,269715,1
0.615,0.23500000000000001,3,-9.759,1,0.039400000000000004,0.751,0.137,0.515,99.986,121014,1
0.637,0.159,10,-12.37,1,0.0436,0.903,0.125,0.23600000000000002,130.103,179375,1
0.596,0.275,9,-8.518,1,0.0317,0.804,0.14100000000000001,0.511,109.968,308591,1
0.644,0.17500000000000002,3,-9.595,0,0.0324,0.866,0.11900000000000001,0.211,105.066,178286,1
0.487,0.23,0,-8.477,1,0.0313,0.887,0.186,0.372,58.479,234772,1
0.724,0.224,4,-11.045,0,0.047400000000000005,0.877,0.08990000000000001,0.186,118.032,168880,1
0.641,0.275,1,-10.911,0,0.0317,0.741,0.06810000000000001,0.34,114.941,212870,1
