danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,liked
0.566,0.161,7,-11.559,0,0.0402,0.9,0.353,0.385,118.938,165956,1
0.699,0.199,9,-11.464,1,0.0304,0.929,0.0739,0.309,109.907,148517,1
0.389,0.122,4,-14.953,1,0.0417,0.873,0.323,0.35,198.216,208856,1
0.654,0.14,4,-14.164,1,0.0361,0.897,0.342,0.259,127.834,142500,1
0.641,0.275,1,-10.911,0,0.0317,0.741,0.0681,0.34,114.941,212870,1
0.426,0.352,2,-8.106,1,0.0394,0.726,0.0722,0.555,134.839,223333,1
0.712,0.552,10,-15.485,0,0.0363,0.0752,0.15,0.961,103.604,281667,0
0.779,0.705,4,-7.834,0,0.0827,0.277,0.0804,0.228,103.048,233597,0
0.819,0.811,6,-7.76,0,0.0349,0.203,0.139,0.766,106.684,246760,0
0.633,0.155,2,-11.62,1,0.0461,0.911,0.0956,0.451,132.172,240000,1
0.599,0.184,11,-13.949,1,0.0348,0.747,0.114,0.223,129.91,283370,1
0.624,0.226,6,-10.663,1,0.0349,0.888,0.131,0.653,85.009,263471,1
0.674,0.123,0,-18.629,1,0.052,0.928,0.108,0.259,127.872,125769,1
0.23,0.0487,5,-27.675,1,0.0412,0.986,0.0679,0.101,134.839,203656,0
0.363,0.994,8,-5.781,1,0.131,3.69e-05,0.207,0.139,108.017,247564,0
0.656,0.381,0,-8.757,0,0.0802,0.653,0.116,0.166,84.907,325556,0
0.205,0.129,7,-18.197,1,0.0595,0.968,0.101,0.296,136.871,169924,0
0.62,0.573,0,-11.893,1,0.0423,0.271,0.0607,0.897,81.548,231333,0
0.762,0.6,5,-7.585,0,0.0909,0.542,0.0841,0.39,115.908,352627,0
0.484,0.207,3,-11.174,1,0.0362,0.791,0.12,0.27,117.38,183984,1
0.715,0.682,7,-7.714,1,0.1,0.325,0.0928,0.136,103.037,230013,0
0.571,0.996,10,-4.907,0,0.215,4.93e-05,0.187,0.0468,94.992,211693,0
0.644,0.175,3,-9.595,0,0.0324,0.866,0.119,0.211,105.066,178286,1
0.604,0.21,0,-11.731,0,0.0323,0.867,0.0935,0.249,120.131,230211,1
0.78,0.551,5,-13.038,0,0.0625,0.0613,0.0331,0.969,126.009,491933,0
0.734,0.425,0,-9.773,1,0.0635,0.131,0.0726,0.235,114.969,268347,0
0.388,0.0888,9,-14.807,0,0.0467,0.973,0.141,0.287,111.074,193696,1
0.535,0.188,2,-16.063,0,0.0461,0.929,0.137,0.569,57.031,180353,1
0.13,0.947,8,-5.888,1,0.095,2.45e-05,0.0453,0.334,60.631,272995,0
0.72,0.828,5,-9.211,1,0.0462,0.185,0.0839,0.768,110.071,323347,0
0.684,0.64,5,-9.906,0,0.0309,0.221,0.179,0.777,106.023,234267,0
0.166,0.0551,9,-19.494,0,0.052,0.976,0.119,0.143,176.616,206520,0
0.335,0.0287,10,-27.4,1,0.041,0.991,0.0874,0.0371,67.446,328000,0
0.651,0.639,3,-7.836,0,0.0583,0.019,0.0522,0.758,157.738,247440,0
0.318,0.0633,6,-23.869,1,0.0507,0.992,0.0831,0.0384,129.466,199133,0
0.251,0.981,10,-7.282,0,0.118,6.27e-05,0.219,0.275,99.338,375307,0
0.487,0.207,3,-10.518,1,0.0343,0.762,0.0835,0.178,57.072,175826,1
0.497,0.182,4,-9.567,0,0.0391,0.837,0.257,0.34,128.171,157852,1
0.615,0.235,3,-9.759,1,0.0394,0.751,0.137,0.515,99.986,121014,1
0.862,0.624,3,-11.63,1,0.0565,0.0192,0.0465,0.882,124.896,254240,0
0.462,0.974,1,-5.82,1,0.0816,2.94e-05,0.0751,0.399,107.877,186576,0
0.529,0.383,11,-7.714,0,0.0634,0.934,0.136,0.418,83.066,143895,1
0.843,0.656,1,-11.184,1,0.0595,0.0466,0.169,0.931,121.112,215653,0
0.554,0.247,0,-8.704,0,0.0354,0.891,0.141,0.177,63.968,155532,1
0.352,0.143,9,-15.23,1,0.0366,0.853,0.0718,0.379,171.406,229535,1
0.184,0.974,8,-6.237,0,0.106,2.32e-05,0.241,0.33,93.771,257390,0
0.648,0.465,6,-9.716,0,0.171,0.772,0.287,0.407,103.025,256281,0
0.522,0.203,11,-14.605,0,0.0476,0.831,0.11,0.257,80.253,159210,1
0.397,0.193,4,-15.44,1,0.033,0.821,0.114,0.168,107.887,258750,1
0.763,0.155,8,-14.142,0,0.0436,0.876,0.153,0.424,115.135,170508,1
0.651,0.811,10,-13.87,1,0.0318,0.0648,0.1,0.962,112.126,186573,0
0.267,0.0024,1,-42.261,0,0.0531,0.995,0.0942,0.267,71.428,397773,0
0.472,0.119,6,-12.397,0,0.0399,0.981,0.165,0.256,141.245,248826,1
0.25,0.982,1,-7.911,0,0.145,5.81e-05,0.171,0.166,136.707,126333,0
0.794,0.659,7,-7.063,0,0.0498,0.143,0.0944,0.308,112.019,247460,0
0.245,0.915,1,-8.992,1,0.0718,9.86e-05,0.633,0.482,101.017,228733,0
0.643,0.224,8,-12.079,1,0.0346,0.892,0.104,0.321,94.744,189462,1
0.637,0.159,10,-12.37,1,0.0436,0.903,0.125,0.236,130.103,179375,1
0.763,0.122,6,-11.474,1,0.0396,0.966,0.106,0.449,130.264,204130,1
0.615,0.187,0,-12.098,1,0.0318,0.831,0.0887,0.45,110.033,146182,1
0.803,0.624,7,-6.764,0,0.0477,0.451,0.1,0.628,95.968,304524,0
0.445,0.0909,6,-15.963,0,0.0789,0.969,0.128,0.373,61.481,174457,1
0.344,0.191,10,-8.872,1,0.0308,0.762,0.119,0.283,171.63,204023,1
0.464,0.119,10,-16.271,1,0.0391,0.985,0.122,0.204,140.29,211957,1
0.4,0.207,5,-12.409,1,0.0498,0.936,0.0848,0.609,188.663,192000,1
0.196,0.983,8,-8.466,0,0.0818,3.05e-06,0.0959,0.316,179.661,183827,0
0.28,0.104,2,-19.802,1,0.0336,0.935,0.362,0.176,92.628,310000,0
0.476,0.213,2,-7.706,1,0.0514,0.872,0.0978,0.562,76.692,243243,1
0.749,0.179,4,-9.872,0,0.0326,0.882,0.123,0.143,105.027,171429,1
0.659,0.287,2,-7.533,1,0.0319,0.784,0.131,0.355,99.896,234600,1
0.331,0.337,5,-5.131,1,0.031,0.786,0.0936,0.317,63.926,146786,1
0.477,0.209,4,-9.138,0,0.0339,0.794,0.182,0.428,85.795,150857,1
0.596,0.275,9,-8.518,1,0.0317,0.804,0.141,0.511,109.968,308591,1
0.425,0.22,0,-9.041,1,0.0326,0.645,0.176,0.099,128.157,201943,1
0.701,0.341,1,-12.26,0,0.0418,0.499,0.359,0.163,105.513,151507,0
0.713,0.27,6,-11.598,1,0.042,0.906,0.135,0.581,116.024,152348,1
0.487,0.124,7,-12.494,1,0.0319,0.794,0.0877,0.136,99.593,163800,1
0.783,0.836,0,-9.223,0,0.0486,0.396,0.135,0.831,108.966,222667,0
0.551,0.173,6,-14.924,1,0.0523,0.88,0.0981,0.267,84.765,209302,1
0.697,0.809,9,-8.197,1,0.0302,0.114,0.183,0.98,125.941,214827,0
0.247,0.992,8,-7.766,0,0.0772,2.85e-05,0.0808,0.318,142.891,237093,0
0.798,0.746,10,-8.639,1,0.0313,0.0304,0.0703,0.965,128.553,655213,0
0.58,0.102,0,-16.335,1,0.0599,0.914,0.0708,0.366,122.006,116212,1
0.705,0.847,6,-2.588,1,0.0361,0.414,0.406,0.743,120.527,228120,0
0.516,0.0928,0,-16.611,1,0.0607,0.969,0.12,0.191,115.477,185217,1
0.38,0.144,0,-14.343,1,0.0375,0.513,0.173,0.37,169.741,195000,1
0.357,0.98,6,-6.835,1,0.079,5.22e-05,0.0768,0.368,96.969,242760,0
0.613,0.228,11,-13.913,1,0.0539,0.836,0.111,0.312,119.8,157744,1
0.138,0.991,8,-5.661,1,0.175,1.53e-05,0.337,0.0718,94.443,244239,0
0.609,0.517,6,-7.557,0,0.0451,0.231,0.0777,0.0761,120.914,285627,0
0.297,0.993,9,-7.173,1,0.118,5.66e-05,0.0766,0.178,127.693,182427,0
0.225,0.98,6,-5.626,1,0.143,5.84e-06,0.0653,0.105,115.077,285907,0
0.291,0.98,1,-5.138,1,0.153,0.00127,0.102,0.257,79.792,270920,0
0.634,0.398,2,-7.428,1,0.0343,0.69,0.0899,0.44,99.765,187200,1
0.334,0.00732,4,-30.908,0,0.0355,0.991,0.0968,0.0964,60.171,241987,0
0.5,0.431,0,-5.508,1,0.0305,0.501,0.11,0.3,89.189,168000,1
0.698,0.0993,8,-16.476,1,0.0712,0.898,0.094,0.182,127.929,90923,1
0.368,0.00363,1,-36.759,1,0.035,0.993,0.137,0.085,69.363,254000,0
0.745,0.456,8,-9.482,1,0.0874,0.44,0.072,0.124,94.032,314367,0
0.472,0.1,11,-15.073,0,0.0396,0.967,0.0741,0.386,116.731,210353,1
0.68,0.877,5,-10.241,0,0.0353,0.191,0.349,0.922,108.674,185107,0
0.653,0.216,8,-10.203,1,0.0387,0.879,0.0982,0.467,117.688,171864,1
0.29,0.934,10,-4.679,0,0.0962,0.000325,0.453,0.18,112.834,225867,0
0.261,0.0149,1,-27.528,1,0.0419,0.992,0.102,0.0382,75.296,286987,0
